node_id,node_type,x,y,elevation_m,flood_depth_m
540,road,80.2676277,13.0371908,9.0,0.0
541,road,80.2576776,13.0069162,11.0,2.0
542,road,80.2521962,12.98491,3.0,0.0
543,road,80.252095,12.9848875,3.0,0.0
544,road,80.2521471,12.9846855,3.0,0.0
545,road,80.2522465,12.984714,3.0,0.0
546,road,80.2447327,13.0067411,12.0,0.0
547,power,80.2556245,13.0002782,11.0,0.0
548,power,80.2485804,13.0064206,8.0,0.0
549,power,80.2422485,12.975704,7.0,0.0
550,power,80.2507804,12.9849411,5.0,0.0
551,power,80.225698,13.0342016,11.0,0.0
552,power,80.22067,12.979878,6.0,0.0
553,power,80.2440545,13.0315334,12.0,0.0
554,power,80.2390123,13.0184133,8.0,0.0
555,power,80.2119147,13.0118422,10.0,0.0
556,power,80.2549163,12.9827265,6.0,0.0
557,power,80.2396165,13.039335,12.0,2.0
558,hospital,80.2052158,13.0386493,15.0,0.0
559,hospital,80.2572467,13.0336624,13.0,0.0
560,hospital,80.1972947,13.0194622,10.0,0.0
563,hospital,80.239884,13.0061338,16.0,0.0
564,hospital,80.196428,13.0122733,15.0,0.0
565,hospital,80.1949734,13.009781,18.0,0.0
566,hospital,80.2440921,13.0293624,10.0,0.0
567,hospital,80.2070144,13.0483819,16.0,1.0
568,hospital,80.211027,13.0495316,14.0,5.0
569,hospital,80.2552541,13.0015307,10.0,0.0
570,hospital,80.2044922,12.9799192,5.0,0.0
571,hospital,80.2165845,13.0385656,12.0,0.0
572,hospital,80.2286587,12.9800456,8.0,0.0
573,hospital,80.2009134,12.9933638,11.0,0.0
575,hospital,80.2594702,13.0205681,7.0,0.0
576,hospital,80.2082964,12.9710287,2.0,0.0
577,hospital,80.2231706,13.024235,11.0,0.0
578,hospital,80.2573008,13.0381705,14.0,0.0
579,hospital,80.2298924,12.9862735,15.0,0.0
580,hospital,80.2230108,13.022387,14.0,0.0
581,hospital,80.2208806,13.0248543,11.0,0.0
582,hospital,80.2203784,13.0248243,13.0,0.0
583,hospital,80.2285827,13.041711,11.0,0.0
584,hospital,80.2223505,12.9767775,8.0,0.0
585,hospital,80.2201536,12.9745585,9.0,0.0
586,hospital,80.2526813,13.0327786,11.0,0.0
587,hospital,80.2247278,13.0313209,11.0,0.0
588,hospital,80.2395364,13.0135999,13.0,0.0
589,hospital,80.2083222,13.0497391,18.0,3.0
590,hospital,80.2293536,12.9856999,13.0,0.0
591,hospital,80.2217057,13.0298741,12.0,0.0
592,hospital,80.2228983,13.031147,10.0,0.0
593,hospital,80.2207913,13.0319539,10.0,0.0
594,hospital,80.2043658,12.9794,5.0,0.0
595,hospital,80.2474284,13.0291736,11.0,0.0
597,hospital,80.2085951,13.0289663,13.0,0.0
598,hospital,80.2457288,13.0464568,12.0,0.0
599,hospital,80.2451004,13.0337515,12.0,0.0
600,hospital,80.230346,13.0329888,10.0,0.0
601,hospital,80.2507134,13.0063976,11.0,4.0
602,hospital,80.2065495,13.0477799,14.0,0.0
603,hospital,80.2246302,12.9789449,9.0,0.0
604,hospital,80.2558082,13.0268492,13.0,0.0
